IdleTimes
n, µs
1482, 10602
1483, 4945
1484, 12701
1485, 5117
1486, 10331
1487, 5104
1488, 35811
1489, 5391
1490, 80196
1491, 4891
